"Publication_Type","Authors","Article_Name","Journal","Year","Type"
"J","Lee, SB; Li, BC; Jin, SX; Daniell, H","Expression and characterization of antimicrobial peptides Retrocyclin-101 and Protegrin-1 in chloroplasts to control viral and bacterial infections","PLANT BIOTECHNOLOGY JOURNAL",2011,"Transgenic"
"J","Mei, C; Yang, J; Mei, QL; Jia, DF; Yan, P; Feng, BB; Mamat, A; Gong, XQ; Guan, QM; Mao, K; Wang, JX; Ma, FW","MdNAC104 positively regulates apple cold tolerance via CBF-dependent and CBF-independent pathways","PLANT BIOTECHNOLOGY JOURNAL",2023,"Transgenic"
"J","Shan, DQ; Wang, CY; Song, HD; Bai, YX; Zhang, HX; Hu, ZH; Wang, L; Shi, K; Zheng, XD; Yan, TC; Sun, YZ; Zhu, YP; Zhang, T; Zhou, ZY; Guo, Y; Kong, J","The MdMEK2-MdMPK6-MdWRKY17 pathway stabilizes chlorophyll levels by directly regulating MdSUFB in apple under drought stress","PLANT JOURNAL",2021,"Transgenic"
"J","Zhao, HL; Wang, Y; Lyu, MJA; Zhu, XG","Two major metabolic factors for an efficient NADP-malic enzyme type C-4 photosynthesis","PLANT PHYSIOLOGY",2022,"Transgenic"
"J","Sai, CB; Nagarajan, P; Raveendran, M; Rabindran, R; Bapu, JRK; Senthil, N","Understanding the inheritance of mungbean yellow mosaic virus (MYMV) resistance in mungbean (Vigna radiata L. Wilczek)","MOLECULAR BREEDING",2017,"Transgenic"
"J","Golfier, P; Volkert, C; He, F; Rausch, T; Wolf, S","Regulation of secondary cell wall biosynthesis by a NAC transcription factor from Miscanthus","PLANT DIRECT",2017,"Transgenic"
"J","Dettrakul, S; Surerum, S; Rajviroongit, S; Kittakoop, P","Biomimetic Transformation and Biological Activities of Globiferin, a Terpenoid Benzoquinone from Cordia globifera","JOURNAL OF NATURAL PRODUCTS",2009,"Transgenic"
"J","Hidalgo-Castellanos, J; Duque, AS; Burgueno, A; Herrera-Cervera, JA; Fevereiro, P; Lopez-Gomez, M","Overexpression of the arginine decarboxylase gene promotes the symbiotic interaction Medicago truncatula-Sinorhizobium meliloti and induces the accumulation of proline and spermine in nodules under salt stress conditions","JOURNAL OF PLANT PHYSIOLOGY",2019,"Transgenic"
"J","MO, YY; GEIBEL, M; BONSALL, RF; GROSS, DC","ANALYSIS OF SWEET CHERRY (PRUNUS-AVIUM L) LEAVES FOR PLANT SIGNAL MOLECULES THAT ACTIVATE THE SYRB GENE REQUIRED FOR SYNTHESIS OF THE PHYTOTOXIN, SYRINGOMYCIN, BY PSEUDOMONAS-SYRINGAE PV SYRINGAE","PLANT PHYSIOLOGY",1995,"Transgenic"
"J","Yu, L; Guo, ZW; Liu, WJ; Feng, XY; Li, ZQ; Zou, Q; Fang, HC; Zhang, ZY; Mao, ZQ; Chen, XS; Chen, ZJ; Wang, N","Interaction between MdZAT10a-like and MdbHLH100 negatively regulates salt tolerance in apple (Malus domestica Borkh.)","ENVIRONMENTAL AND EXPERIMENTAL BOTANY",2022,"Transgenic"
"J","Fu, P; Meacham-Hensold, K; Guan, KY; Bernacchi, CJ","Hyperspectral Leaf Reflectance as Proxy for Photosynthetic Capacities: An Ensemble Approach Based on Multiple Machine Learning Algorithms","FRONTIERS IN PLANT SCIENCE",2019,"Transgenic"
"J","Merkli, A; Christen, P; Kapetanidis, I","Production of diosgenin by hairy root cultures of Trigonella foenum-graecum L","PLANT CELL REPORTS",1997,"Transgenic"
"J","Wu, QG; Zhang, C; Yang, HL; Hu, JY; Zou, LJ","In vitro propagation via organogenesis and formation of globular bodies of Salvia plebeia: a valuable medicinal plant","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT",2022,"Transgenic"
"J","Zhu, YQ; Wang, X; Huang, LK; Lin, CW; Zhang, XQ; Xu, WZ; Peng, JH; Li, Z; Yan, HD; Luo, FX; Wang, X; Yao, L; Peng, DD","Transcriptomic Identification of Drought-Related Genes and SSR Markers in Sudan Grass Based on RNA-Seq","FRONTIERS IN PLANT SCIENCE",2017,"Transgenic"
"J","Srivastava, R; Kobayashi, Y; Koyama, H; Sahoo, L","Overexpression of cowpea NAC transcription factors promoted growth and stress tolerance by boosting photosynthetic activity in Arabidopsis","PLANT SCIENCE",2022,"Transgenic"
"J","Clark, SJ; Perry, JN; Marshall, EJP","Estimating Taylor's power law parameters for weeds and the effect of spatial scale","WEED RESEARCH",1996,"Transgenic"
"J","Kashin, AS; Blyudneva, EA; Silkin, MA","Megagamete activation and regulation of in vitro embryogenesis in unpollinated millet ovaries","RUSSIAN JOURNAL OF PLANT PHYSIOLOGY",2000,"Transgenic"
"J","Zhang, JF","Registration of upland cotton cultivar 'Acala 1517-20' resistant to Fusarium wilt race 4","JOURNAL OF PLANT REGISTRATIONS",2020,"Transgenic"
"J","Cecchin, M; Jeong, J; Son, W; Kim, M; Park, S; Zuliani, L; Cazzaniga, S; Pompa, A; Kang, CY; Bae, S; Ballottari, M; Jin, E","LPA2 protein is involved in photosystem II assembly in Chlamydomonas reinhardtii","PLANT JOURNAL",2021,"Transgenic"
"J","Ono, A; Hiwasa-Tanase, K; Nonaka, S; Ezura, H","The accumulation of recombinant miraculin is independent of fruit size in tomato","PLANT BIOTECHNOLOGY",2021,"Transgenic"
"J","Lenti, K; Fodor, F; Boddi, B","Mercury inhibits the activity of the NADPH : protochlorophyllide oxidoreductase (POR)","PHOTOSYNTHETICA",2002,"Transgenic"
"J","Rios-Estepa, R; Lange, I; Lee, JM; Lange, BM","Mathematical Modeling-Guided Evaluation of Biochemical, Developmental, Environmental, and Genotypic Determinants of Essential Oil Composition and Yield in Peppermint Leaves","PLANT PHYSIOLOGY",2010,"Transgenic"
"J","Liang, YY; Yang, CD; Sainju, UM; Zhang, NN; Zhao, FZ; Wang, WZ; Wang, J","Differential Responses of Soil Microbial N-Cycling Functional Genes to 35 yr Applications of Chemical Fertilizer and Organic Manure in Wheat Field Soil on Loess Plateau","AGRONOMY-BASEL",2023,"Transgenic"
"J","Santos, PM; Figueiredo, AC; Oliveira, MM; Barroso, JG; Pedro, LG; Deans, SG; Younus, AKM; Scheffer, JC","Essential oils from hairy root cultures and from fruits and roots of Pimpinella anisum","PHYTOCHEMISTRY",1998,"Transgenic"
"J","Ma, S; Lv, JG; Li, X; Ji, TT; Zhang, ZX; Gao, LH","Galactinol synthase gene 4 (CsGolS4) increases cold and drought tolerance in Cucumis sativus L. by inducing RFO accumulation and ROS scavenging","ENVIRONMENTAL AND EXPERIMENTAL BOTANY",2021,"Transgenic"
"J","Hu, WJ; Chen, L; Qiu, XY; Wei, J; Lu, HL; Sun, GC; Ma, XF; Yang, ZR; Zhu, CQ; Hou, YQ; Han, X; Sun, CY; Hu, RB; Cai, YF; Zhang, H; Li, FG; Shen, GX","AKR2A participates in the regulation of cotton fibre development by modulating biosynthesis of very-long-chain fatty acids","PLANT BIOTECHNOLOGY JOURNAL",2020,"Transgenic"
"J","Zhao, Q; Hu, RS; Liu, D; Liu, X; Wang, J; Xiang, XH; Li, YY","The AP2 transcription factor NtERF172 confers drought resistance by modifying NtCAT","PLANT BIOTECHNOLOGY JOURNAL",2020,"Transgenic"
"J","Diaz-Mendoza, M; Dominguez-Figueroa, JD; Velasco-Arroyo, B; Cambra, I; Gonzalez-Melendi, P; Lopez-Gonzalvez, A; Garcia, A; Hensel, G; Kumlehn, J; Diaz, I; Martinez, M","HvPap-1 C1A Protease and HvCPI-2 Cystatin Contribute to Barley Grain Filling and Germination","PLANT PHYSIOLOGY",2016,"Transgenic"
"J","Cooley, MB; Yoder, JI","Insertional inactivation of the tomato polygalacturonase gene","PLANT MOLECULAR BIOLOGY",1998,"Transgenic"
"J","Handakumbura, PP; Brow, K; Whitney, IP; Zhao, KM; Sanguinet, KA; Lee, SJ; Olins, J; Romero-Gamboa, SP; Harrington, MJ; Bascom, CJ; MacKinnon, KJM; Veling, MT; Liu, LF; Lee, JE; Vogel, JP; O'Malley, RC; Bezanilla, M; Bartley, LE; Hazen, SP","SECONDARY WALL ASSOCIATED MYB1 is a positive regulator of secondary cell wall thickening in Brachypodium distachyon and is not found in the Brassicaceae","PLANT JOURNAL",2018,"Transgenic"
"J","Kim, YS; Kim, JJ; Park, SI; Diamond, S; Boyd, JS; Taton, A; Kim, IS; Golden, JW; Yoon, HS","Expression of OsTPX Gene Improves Cellular Redox Homeostasis and Photosynthesis Efficiency in Synechococcus elongatus PCC 7942","FRONTIERS IN PLANT SCIENCE",2018,"Transgenic"
"J","Tingting, W; Jie, Z; Yuqing, H; Yanchao, X; Khan, A; Pu, L; Yuhong, W; Kunbo, W; Fang, L; Xiaoyan, C; Zhongli, Z","GhGTG1 enhances cold stress tolerance by improving sensitivity to ABA in cotton and Arabidopsis","ENVIRONMENTAL AND EXPERIMENTAL BOTANY",2023,"Transgenic"
"J","Cadiz, NM; Vivanco, JM; Flores, HE","Coculture of Pachyrhizus erosus (L.) hairy roots with Rhizobium spp.","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT",2000,"Transgenic"
"J","Julke, S; Ludwig-Muller, J","Response of Arabidopsis thaliana Roots with Altered Lipid Transfer Protein (LTP) Gene Expression to the Clubroot Disease and Salt Stress","PLANTS-BASEL",2016,"Transgenic"
"J","Guan, HR; Liu, X; Niu, F; Zhao, QQ; Fan, N; Cao, D; Meng, D; He, W; Guo, B; Wei, YH; Fu, YP","OoNAC72, a NAC-Type Oxytropis ochrocephala Transcription Factor, Conferring Enhanced Drought and Salt Stress Tolerance in Arabidopsis","FRONTIERS IN PLANT SCIENCE",2019,"Transgenic"
"J","Ferrandino, FJ","Relating the Progeny Production Curve to the Speed of an Epidemic","PHYTOPATHOLOGY",2013,"Transgenic"
"J","Liu, ZX; Hu, X; Nie, J; Li, XJ; Wang, Q; Liu, WQ; Wang, T; Lu, XH; Gao, SL; Gao, LH; Zhang, WN","Optimization of RNA In Situ Hybridization for mRNA Localization Detection in Mature Tissue of Cucumber Seedlings","PLANTS-BASEL",2020,"Transgenic"
"J","Vonapartis, E; Mohamed, D; Li, JR; Pan, WQ; Wu, J; Gazzarrini, S","CBF4/DREB1D represses XERICO to attenuate ABA, osmotic and drought stress responses in Arabidopsis","PLANT JOURNAL",2022,"Transgenic"
"J","Zafar, MM; Manan, A; Razzaq, A; Zulfqar, M; Saeed, A; Kashif, M; Khan, AI; Sarfraz, Z; Mo, HJ; Iqbal, MS; Shakeel, A; Ren, MZ","Exploiting Agronomic and Biochemical Traits to Develop Heat Resilient Cotton Cultivars under Climate Change Scenarios","AGRONOMY-BASEL",2021,"Transgenic"
"B","Upadhyaya, H; Panda, SK","DROUGHT STRESS RESPONSES AND ITS MANAGEMENT IN RICE","ADVANCES IN RICE RESEARCH FOR ABIOTIC STRESS TOLERANCE",2019,"Transgenic"
"J","TROELSTRA, SR; WAGENAAR, R; SMANT, W; DEBOER, W","SOIL-NITROGEN TRANSFORMATIONS AND NITRATE UTILIZATION BY DESCHAMPSIA-FLEXUOSA (L) TRIN AT 2 CONTRASTING HEATHLAND SITES","PLANT AND SOIL",1995,"Transgenic"
"J","Chen, Y; Li, YB; Zhou, MY; Rui, QZ; Cai, ZZ; Zhang, X; Chen, Y; Chen, DH","Nitrogen (N) Application Gradually Enhances Boll Development and Decreases Boll Shell Insecticidal Protein Content in N-Deficient Cotton","FRONTIERS IN PLANT SCIENCE",2018,"Transgenic"
"J","Delatte, TL; Sedijani, P; Kondou, Y; Matsui, M; de Jong, GJ; Somsen, GW; Wiese-Klinkenberg, A; Primavesi, LF; Paul, MJ; Schluepmann, H","Growth Arrest by Trehalose-6-Phosphate: An Astonishing Case of Primary Metabolite Control over Growth by Way of the SnRK1 Signaling Pathway","PLANT PHYSIOLOGY",2011,"Transgenic"
"J","Farran, I; Rio-Manterola, F; Iniguez, M; Garate, S; Prieto, J; Mingo-Castel, AM","High-density seedling expression system for the production of bioactive human cardiotrophin-1, a potential therapeutic cytokine, in transgenic tobacco chloroplasts","PLANT BIOTECHNOLOGY JOURNAL",2008,"Transgenic"
"J","Zeng, QW; Qin, S; Song, SQ; Zhang, M; Xiao, YH; Luo, M; Hou, L; Pei, Y","Molecular Cloning and Characterization of a Cytokinin Dehydrogenase Gene from Upland Cotton (Gossypium hirsutum L.)","PLANT MOLECULAR BIOLOGY REPORTER",2012,"Transgenic"
"J","Elhiti, M; Yang, CC; Belmonte, MF; Gulden, RH; Stasolla, C","Transcriptional changes of antioxidant responses, hormone signalling and developmental processes evoked by the Brassica napus SHOOTMERISTEMLESS during in vitro embryogenesis","PLANT PHYSIOLOGY AND BIOCHEMISTRY",2012,"Transgenic"
"J","Zhu, DL; Wu, Z; Cao, GY; Li, JG; Wei, J; Tsuge, T; Gu, HY; Aoyama, T; Qu, LJ","TRANSLUCENT GREEN, an ERF Family Transcription Factor, Controls Water Balance in Arabidopsis by Activating the Expression of Aquaporin Genes","MOLECULAR PLANT",2014,"Transgenic"
"J","Jiao, J; Gai, QY; Fu, YJ; Ma, W; Yao, LP; Feng, C; Xia, XX","Optimization of Astragalus membranaceus hairy roots induction and culture conditions for augmentation production of astragalosides","PLANT CELL TISSUE AND ORGAN CULTURE",2015,"Transgenic"
"J","Han, B; Wang, C; Wu, T; Yan, JJ; Jiang, AS; Liu, Y; Luo, Y; Cai, HM; Ding, GD; Dong, X; White, PJ; Xu, FS; Wang, SL; Shi, L","Identification of vacuolar phosphate influx transporters in Brassica napus","PLANT CELL AND ENVIRONMENT",2022,"Transgenic"
"J","Pires, AS; Rosa, S; Castanheira, S; Fevereiro, P; Abranches, R","Expression of a recombinant human erythropoietin in suspension cell cultures of Arabidopsis, tobacco and Medicago","PLANT CELL TISSUE AND ORGAN CULTURE",2012,"Transgenic"
"J","Potnis, N; Timilsina, S; Strayer, A; Shantharaj, D; Barak, JD; Paret, ML; Vallad, GE; Jones, JB","Bacterial spot of tomato and pepper: diverse Xanthomonas species with a wide variety of virulence factors posing a worldwide challenge","MOLECULAR PLANT PATHOLOGY",2015,"Transgenic"
"J","Grant, JJ; Chini, A; Basu, D; Loake, GJ","Targeted activation tagging of the Arabidopsis NBS-LRR gene, ADR1, conveys resistance to virulent pathogens","MOLECULAR PLANT-MICROBE INTERACTIONS",2003,"Transgenic"
"J","Bonfig, KB; Berger, S; Fatima, T; Gonzalez, MC; Roitsch, T","Metabolic control of seedling development by invertases","FUNCTIONAL PLANT BIOLOGY",2007,"Transgenic"
"J","Dymova, OV; Zakhozhiy, IG; Golovko, TK","Age and Adaptive Changes in the Photosynthetic Apparatus of Leaves in Winter Green Herbaceous Plant Ajuga reptans L. in the Natural Conditions of the Taiga Zone","RUSSIAN JOURNAL OF PLANT PHYSIOLOGY",2023,"Transgenic"
"J","Wu, TZ; Salim, AA; Cui, H; Khalil, ZG; Bernhardt, PV; Capon, RJ","Glenthenamines A-F: Enamine Pyranonaphthoquinones from the Australian Pasture Plant Derived Streptomyces sp. CMB-PB042","JOURNAL OF NATURAL PRODUCTS",2022,"Transgenic"
"J","Toroser, D; McMichael, R; Krause, KP; Kurreck, J; Sonnewald, U; Stitt, M; Huber, SC","Site-directed mutagenesis of serine 158 demonstrates its role in spinach leaf sucrose-phosphate synthase modulation","PLANT JOURNAL",1999,"Transgenic"
"J","Hartel, H; Grimm, B","Consequences of chlorophyll deficiency for leaf carotenoid composition in tobacco synthesizing glutamate 1-semialdehyde aminotransferase antisense RNA: dependency on developmental age and growth light","JOURNAL OF EXPERIMENTAL BOTANY",1998,"Transgenic"
"J","Kang, Y; Lee, K; Choi, J; Komakech, R; Min, J; Ju, S; Kim, SW; Youn, C; Kim, YG; Moon, BC","Maximizing seedling and root tuber production in Polygonum multiflorum for use in ethnomedicine","SOUTH AFRICAN JOURNAL OF BOTANY",2018,"Transgenic"
"J","Nie; Zhao, ZP; Chen, GP; Zhang, B; Ye, M; Hu, ZL","Brassica napus possesses enhanced antioxidant capacity via heterologous expression of anthocyanin pathway gene transcription factors","RUSSIAN JOURNAL OF PLANT PHYSIOLOGY",2013,"Transgenic"
"J","Komarnytsky, S; Borisjuk, NV; Borisjuk, LG; Alam, MZ; Raskin, I","Production of recombinant proteins in tobacco guttation fluid","PLANT PHYSIOLOGY",2000,"Transgenic"
"J","Gambhir, P; Singh, V; Raghuvanshi, U; Parida, AP; Pareek, A; Roychowdhury, A; Sopory, SK; Kumar, R; Sharma, AK","A glutathione-independent DJ-1/PfpI domain-containing tomato glyoxalaseIII2, SlGLYIII2, confers enhanced tolerance under salt and osmotic stresses","PLANT CELL AND ENVIRONMENT",2023,"Transgenic"
"J","Chaves, JE; Romero, PR; Kirst, H; Melis, A","Role of isopentenyl-diphosphate isomerase in heterologous cyanobacterial (Synechocystis) isoprene production","PHOTOSYNTHESIS RESEARCH",2016,"Transgenic"
"J","Rusconi, F; Simeoni, F; Francia, P; Cominelli, E; Conti, L; Riboni, M; Simoni, L; Martin, CR; Tonelli, C; Galbiati, M","The Arabidopsis thaliana MYB60 promoter provides a tool for the spatio-temporal control of gene expression in stomatal guard cells","JOURNAL OF EXPERIMENTAL BOTANY",2013,"Transgenic"
"J","Su, PF; Ding, SS; Wang, DC; Kan, WJ; Yuan, M; Chen, X; Tang, CG; Hou, JY; Wu, LF","Plant morphology, secondary metabolites and chlorophyll fluorescence of Artemisia argyi under different LED environments","PHOTOSYNTHESIS RESEARCH",2023,"Transgenic"
"J","Gong, Q; Yang, ZE; Wang, XQ; Butt, HI; Chen, EY; He, SP; Zhang, CJ; Zhang, XY; Li, FG","Salicylic acid-related cotton (Gossypium arboreum) ribosomal protein GaRPL18 contributes to resistance to Verticillium dahliae","BMC PLANT BIOLOGY",2017,"Transgenic"
"J","AbouZid, S; Orihara, Y","Polyacetylenes accumulation in Ambrosia maritima hairy root and cell cultures after elicitation with methyl jasmonate","PLANT CELL TISSUE AND ORGAN CULTURE",2005,"Transgenic"
"J","Kallam, K; Moreno-Gimenez, E; Mateos-Fernandez, R; Tansley, C; Gianoglio, S; Orzaez, D; Patron, N","Tunable control of insect pheromone biosynthesis in Nicotiana benthamiana","PLANT BIOTECHNOLOGY JOURNAL",2023,"Transgenic"
"J","Srivastava, S; Srivastava, AK","Statistical medium optimization for enhanced azadirachtin production in hairy root culture of Azadirachta indica","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT",2012,"Transgenic"
"J","Heyno, E; Ermakova, M; Lopez-Calcagno, PE; Woodford, R; Brown, KL; Matthews, JSA; Osmond, B; Raines, CA; von Caemmerer, S","Rieske FeS overexpression in tobacco provides increased abundance and activity of cytochrome b(6)f","PHYSIOLOGIA PLANTARUM",2022,"Transgenic"
"J","Lin, Y; Amkul, K; Laosatit, K; Liu, JY; Yimram, T; Chen, JB; Yuan, XX; Chen, X; Somta, P","Fine mapping of QTL conferring resistance to calcareous soil in mungbean reveals VrYSL3 as candidate gene for the resistance","PLANT SCIENCE",2023,"Transgenic"
"J","Eichelmann, H; Laisk, A","Cooperation of photosystems II and I in leaves as analyzed by simultaneous measurements of chlorophyll fluorescence and transmittance at 800 nm","PLANT AND CELL PHYSIOLOGY",2000,"Transgenic"
"J","Akiyama, R; Lee, HJ; Nakayasu, M; Osakabe, K; Osakabe, Y; Umemoto, N; Saito, K; Muranaka, T; Sugimoto, Y; Mizutani, M","Characterization of steroid 5 alpha-reductase involved in alpha-tomatine biosynthesis in tomatoes","PLANT BIOTECHNOLOGY",2019,"Transgenic"
"J","Zhou, Y; Zhang, ZT; Li, M; Wei, XZ; Li, XJ; Li, BY; Li, XB","Cotton (Gossypium hirsutum) 14-3-3 proteins participate in regulation of fibre initiation and elongation by modulating brassinosteroid signalling","PLANT BIOTECHNOLOGY JOURNAL",2015,"Transgenic"
"J","Chen, C; Zhang, Z; Xu, XQ; Tang, Q; Liu, JX; Liu, BW; Zheng, CS","CmCLCaPlays a Key Role in the Storage of Nitrate in Chrysanthemum Leaf Vacuoles","JOURNAL OF PLANT GROWTH REGULATION",2021,"Transgenic"
"J","Han, HW; Wang, ZW; Wang, XZ; Sun, XS; Fang, CQ; Wang, CT","Identification of high-oleic peanut chemical mutants and functional analysis of mutated FAD2B gene","PLANT GENETIC RESOURCES-CHARACTERIZATION AND UTILIZATION",2022,"Transgenic"
"J","Kumar, R; Srivastava, A; Srivastava, A; Srivastava, S; Prasad, V; Raj, K","Studies on molecular variability of coat protein gene of Papaya ringspot virus-P isolates from India","EUROPEAN JOURNAL OF PLANT PATHOLOGY",2019,"Transgenic"
"B","Kayo, Y; Jocic, S; Miladinovic, D","Sunflower","TECHNOLOGICAL INNOVATIONS IN MAJOR WORLD OIL CROPS, VOL 1: BREEDING",2012,"Transgenic"
"J","Kikkert, JR; Striem, MJ; Vidal, JR; Wallace, PG; Barnard, J; Reisch, BI","Long-term study of somatic embryogenests from anthers and ovaries of 12 grapevine (Vitis sp.) genotypes","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT",2005,"Transgenic"
"J","Guo, DS; Zhang, JZ; Wang, XL; Han, X; Wei, BY; Wang, JQ; Li, BX; Yu, H; Huang, QP; Gu, HY; Qu, LJ; Qin, GJ","The WRKY Transcription Factor WRKY71/EXB1 Controls Shoot Branching by Transcriptionally Regulating RAX Genes in Arabidopsis","PLANT CELL",2015,"Transgenic"
"J","Wang, HH; Wang, XQ; Song, WM; Bao, Y; Jin, YL; Jiang, CM; Wang, CT; Li, B; Zhang, HX","PdMYB118, isolated from a red leaf mutant of Populus deltoids, is a new transcription factor regulating anthocyanin biosynthesis in poplar","PLANT CELL REPORTS",2019,"Transgenic"
"J","Matchett-Oates, L; Mohamaden, E; Spangenberg, GC; Cogan, NOI","Development of a robust transient expression screening system in protoplasts of Cannabis","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT",2021,"Transgenic"
"J","Sebastiani, MS; Ficcadenti, N","In vitro plant regeneration from cotyledonary explants of Cucumis melo L. var. cantalupensis and genetic stability evaluation using RAPD analysis","PLANT CELL TISSUE AND ORGAN CULTURE",2016,"Transgenic"
"B","Peleg, Z; Walia, H; Blumwald, E","Integrating genomics and genetics to accelerate development of drought and salinity tolerant crops","PLANT BIOTECHNOLOGY AND AGRICULTURE: PROSPECTS FOR THE 21ST CENTURY",2012,"Transgenic"
"J","Knapp, S; Kuhn, I; Stolle, J; Klotz, S","Changes in the functional composition of a Central European urban flora over three centuries","PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS",2010,"Transgenic"
"J","Huang, FC; Schwab, W","Overexpression of hydroperoxide lyase, peroxygenase and epoxide hydrolase in tobacco for the biotechnological production of flavours and polymer precursors","PLANT BIOTECHNOLOGY JOURNAL",2012,"Transgenic"
"J","Kusakina, J; Gould, PD; Hall, A","A fast circadian clock at high temperatures is a conserved feature across Arabidopsis accessions and likely to be important for vegetative yield","PLANT CELL AND ENVIRONMENT",2014,"Transgenic"
"J","Li, J; Wang, WY; Wang, W; Li, YQ","The Ability of Nitrification Inhibitors to Decrease Denitrification Rates in an Arable Soil","AGRONOMY-BASEL",2022,"Transgenic"
"J","Qi, G; Wang, D; Yu, L; Tang, XF; Chai, GH; He, G; Ma, WX; Li, SY; Kong, YZ; Fu, CX; Zhou, GK","Metabolic engineering of 2-phenylethanol pathway producing fragrance chemical and reducing lignin in Arabidopsis","PLANT CELL REPORTS",2015,"Transgenic"
"J","Ueyama, Y; Suzuki, K; Fukuchi-Mizutani, M; Fukui, Y; Miyazaki, K; Ohkawa, H; Kusumi, T; Tanaka, Y","Molecular and biochemical characterization of torenia flavonoid 3 '-hydroxylase and flavone synthase II and modification of flower color by modulating the expression of these genes","PLANT SCIENCE",2002,"Transgenic"
"J","Khan, MT; Ahmed, S; Shah, AA; Shah, AN; Tanveer, M; El-Sheikh, MA; Siddiqui, MH","Influence of Zinc Oxide Nanoparticles to Regulate the Antioxidants Enzymes, Some Osmolytes and Agronomic Attributes in Coriandrum sativum L. Grown under Water Stress","AGRONOMY-BASEL",2021,"Transgenic"
"J","Ma, Y; Xue, H; Zhang, F; Jiang, Q; Yang, S; Yue, PT; Wang, F; Zhang, YY; Li, LG; He, P; Zhang, ZH","The miR156/SPL module regulates apple salt stress tolerance by activating MdWRKY100 expression","PLANT BIOTECHNOLOGY JOURNAL",2021,"Transgenic"
"J","Zhang, LL; Ma, XK; Zhang, XT; Xu, Y; Ibrahim, AK; Yao, JY; Huang, HX; Chen, S; Liao, ZY; Zhang, Q; Niyitanga, S; Yu, JX; Liu, Y; Xu, XM; Wang, JJ; Tao, AF; Xu, JT; Chen, SY; Yang, X; He, QY; Lin, LH; Fang, PP; Zhang, LM; Ming, R; Qi, JM; Zhang, LW","Reference genomes of the two cultivated jute species","PLANT BIOTECHNOLOGY JOURNAL",2021,"Transgenic"
"J","Skinner, JS; Meilan, R; Ma, CP; Strauss, SH","The Populus PTD promoter imparts floral-predominant expression and enables high levels of floral-organ ablation in Populus, Nicotiana and Arabidopsis","MOLECULAR BREEDING",2003,"Transgenic"
"J","Zhou, XJ; Condori-Apfata, JA; Liu, XQ; Condori-Pacsi, SJ; Valencia, MV; Zhang, CK","Transcriptomic Changes Induced by Drought Stress in Hardneck Garlic during the Bolting/Bulbing Stage","AGRONOMY-BASEL",2021,"Transgenic"
"J","Cornish, K","Similarities and differences in rubber biochemistry among plant species","PHYTOCHEMISTRY",2001,"Transgenic"
"J","Bernacki, MJ; Czarnocka, W; Witon, D; Rusaczonek, A; Szechynska-Hebda, M; Slesak, I; Dabrowska-Bronk, J; Karpinski, S","ENHANCED DISEASE SUSCEPTIBILITY 1 (EDS1) affects development, photosynthesis, and hormonal homeostasis in hybrid aspen (Populus tremula L. x P. tremuloides)","JOURNAL OF PLANT PHYSIOLOGY",2018,"Transgenic"
"J","Jung, SH; Kim, RJ; Kim, KJ; Lee, DH; Suh, MC","Plastidial and Mitochondrial Malonyl CoA-ACP Malonyltransferase is Essential for Cell Division and Its Overexpression Increases Storage Oil Content","PLANT AND CELL PHYSIOLOGY",2019,"Transgenic"
"J","Gou, JQ; Fu, CX; Liu, SJ; Tang, CR; Debnath, S; Flanagan, A; Ge, YX; Tang, YH; Jiang, QZ; Larson, PR; Wen, JQ; Wang, ZY","The miR156-SPL4 module predominantly regulates aerial axillary bud formation and controls shoot architecture","NEW PHYTOLOGIST",2017,"Transgenic"
"J","Shen, YH; Chen, YH; Liu, HY; Chiang, FY; Wang, YC; Hou, LY; Lin, JS; Lin, CC; Lin, HH; Lai, HM; Jeng, ST","Expression of a gene encoding beta-ureidopropionase is critical for pollen germination in tomatoes","PHYSIOLOGIA PLANTARUM",2014,"Transgenic"
"J","Sahu, PP; Rai, NK; Chakraborty, S; Singh, M; Chandrappa, PH; Ramesh, B; Chattopadhyay, D; Prasad, M","Tomato cultivar tolerant to Tomato leaf curl New Delhi virus infection induces virus-specific short interfering RNA accumulation and defence-associated host gene expression","MOLECULAR PLANT PATHOLOGY",2010,"Transgenic"
"J","Zhang, NN; Dolan, M; Wu, D; Phillips, GC; Xu, JF","Dramatic secretion of recombinant protein expressed in tobacco cells with a designer glycopeptide tag is highly impacted by medium composition","PLANT CELL REPORTS",2016,"Transgenic"
"J","Matros, A; Schikora, A; Ordon, F; Wehner, G","QTL for induced resistance against leaf rust in barley","FRONTIERS IN PLANT SCIENCE",2023,"Transgenic"
"J","Salter, WT; Li, S; Dracatos, PM; Barbour, MM","Identification of quantitative trait loci for dynamic and steady-state photosynthetic traits in a barley mapping population","AOB PLANTS",2020,"Transgenic"
"J","Kawaguchi, A; Inoue, K","Grapevine crown gall caused by Rhizobium radiobacter (Ti) in Japan","JOURNAL OF GENERAL PLANT PATHOLOGY",2009,"Transgenic"
